Question,Answer
What are the legal rights of children in the event of a divorce in Sri Lanka?,"In the event of a divorce in Sri Lanka, children have the right to be cared for and supported by both parents, as mandated by the Guardianship of Infants Ordinance (No. 17 of 1898). The Family Court determines custody arrangements based on the child's best interests. If one parent is granted custody, the other parent may be required to provide financial support and visitation rights. The child's welfare, education, and emotional well-being are central to the court’s decision."
Can a divorce decree be appealed in Sri Lanka?,"Yes, a divorce decree can be appealed in Sri Lanka under the Civil Procedure Code (No. 4 of 1956). If either party is dissatisfied with the Family Court’s decision, they can appeal to the Court of Appeal. The appeal must be based on legal grounds such as procedural errors or misinterpretation of the law. The appeal process can take considerable time and may involve further hearings, but the Court of Appeal has the authority to modify or overturn the Family Court’s decision."
How are matrimonial assets divided in Sri Lanka upon divorce?,"The division of matrimonial assets in Sri Lanka is governed by the Matrimonial Property Act (No. 34 of 2005). The act ensures that assets acquired during the marriage are divided fairly between the spouses, considering their contributions to the marriage, including financial contributions, homemaking, and child-rearing. If the couple cannot agree on the division, the Family Court can step in to resolve the matter based on the principle of equity."
What is the process for filing a complaint of domestic violence in Sri Lanka?,"A victim of domestic violence in Sri Lanka can file a complaint with the police or directly with the Family Court under the Domestic Violence Act (No. 34 of 2005). The police are obligated to assist in filing a complaint and may issue an interim protection order. The Family Court then hears the case and can issue a protection order, bar the abuser from the home, and provide temporary maintenance and accommodation for the victim and children."
Can a husband demand custody of children in Sri Lanka after a divorce?,"Yes, a husband can petition for custody of children after a divorce under the Guardianship of Infants Ordinance (No. 17 of 1898). However, custody decisions are based on the best interests of the child. The Family Court will evaluate various factors, such as the child’s age, emotional attachment, and the ability of each parent to provide care. In most cases, mothers are granted primary custody, but fathers can also be awarded custody depending on the circumstances."
What is the legal age for adoption of a child in Sri Lanka?,"The legal age for adoption in Sri Lanka is governed by the Adoption Act (No. 7 of 2017). The adopter must be at least 30 years old, and the child being adopted must generally be under 16 years old. The court will assess the suitability of the prospective adoptive parent(s) and ensure that the adoption is in the child’s best interests. The process involves a thorough background check and assessment by the Department of Probation and Child Care Services."
Is it necessary to have a lawyer to file for divorce in Sri Lanka?,"While it is not mandatory to have a lawyer to file for divorce in Sri Lanka, it is highly recommended. The divorce process involves legal paperwork and hearings that may be complex. Having a lawyer ensures that the petitioner follows the correct legal procedures, especially in contentious matters like child custody or division of assets. Lawyers specializing in family law can help navigate the process and represent the client’s interests in court."
What should I do if I suspect my spouse is hiding assets during divorce proceedings?,"If you suspect that your spouse is hiding assets during divorce proceedings, you can request the Family Court to order a full financial disclosure. Under the Divorce Act (No. 2 of 1905), both parties are obligated to reveal all their assets and liabilities during divorce proceedings. If a party is found to be hiding assets, they could be penalized by the court, and the hidden assets may be included in the division of property."
How can I prevent my spouse from taking the children abroad during a divorce?,"To prevent a spouse from taking children abroad during a divorce, you can request a court order under the Guardianship of Infants Ordinance (No. 17 of 1898). The Family Court can issue a travel restriction order that prohibits the child from leaving the country without both parents' consent. In some cases, the court may also seize the passport of the parent seeking to take the child abroad until custody matters are resolved."
Can a step-parent adopt their spouse’s children in Sri Lanka?,"Yes, a step-parent can adopt their spouse’s children in Sri Lanka under the Adoption Act (No. 7 of 2017). The adoption process for step-parents is generally easier compared to other adoptions, but it still requires the consent of both biological parents and approval from the Family Court. The step-parent must meet specific criteria, including being at least 30 years old and able to provide a stable home for the child."
Can a person change their legal gender in Sri Lanka?,"In Sri Lanka, the process for legally changing one’s gender is currently not as formalized as in some other countries. However, the legal recognition of gender change is often linked to medical certification and is considered on a case-by-case basis. There are discussions around improving the legal framework to support gender identity changes, but currently, the law does not provide a clear and simple process for individuals seeking gender change recognition."
What happens if a person dies without a will in Sri Lanka?,"If a person dies without a will in Sri Lanka, the distribution of their estate is governed by the Intestate Succession Ordinance (No. 1 of 1911). In the absence of a will, the estate is distributed among the surviving relatives according to a predefined order, beginning with the spouse and children. If there are no direct heirs, the estate may go to other family members such as parents, siblings, or more distant relatives. The Intestate Succession Ordinance sets clear guidelines on how the assets are divided based on the relationship to the deceased."
Can I get a divorce in Sri Lanka if my spouse is living abroad?,"Yes, it is possible to get a divorce in Sri Lanka even if your spouse is living abroad. Under the Divorce Act (No. 2 of 1905), the Family Court in Sri Lanka has jurisdiction if either party is domiciled in Sri Lanka or the marriage was solemnized in Sri Lanka. If the spouse is abroad, the court may allow them to participate in hearings remotely or through legal representation. The court will consider the welfare of children and other relevant factors when making its decision."
What is the process for obtaining a restraining order in cases of domestic violence?,"A person seeking protection from domestic violence can file a complaint under the Domestic Violence Act (No. 34 of 2005). The victim can apply for a restraining order through the Family Court, which may issue an interim order immediately. The court can also issue a protection order prohibiting the abuser from making contact with the victim and ordering them to stay away from the victim’s home or workplace. Violating a restraining order can lead to criminal penalties."
Can a father be denied visitation rights in Sri Lanka if he is abusive?,"Yes, a father can be denied visitation rights if the court determines that the visits would be harmful to the child. The Guardianship of Infants Ordinance (No. 17 of 1898) prioritizes the child’s welfare above all else. If a father has been abusive or poses a risk to the child, the Family Court can restrict or deny visitation. In some cases, supervised visitation may be ordered to ensure the child’s safety during interactions with the abusive parent."
What is the role of a guardian in child custody cases?,"Under the Guardianship of Infants Ordinance (No. 17 of 1898), a guardian is legally responsible for the care and well-being of a child. The guardian may be one of the parents or, in certain cases, another adult nominated by the court. The role of a guardian involves making decisions about the child's education, healthcare, and general upbringing. In custody cases, the Family Court will determine which parent or guardian can provide the best environment for the child."
How does the court determine the division of matrimonial property during a divorce?,"The court uses the Matrimonial Property Act (No. 34 of 2005) to guide the division of property between spouses in the event of a divorce. The court will consider various factors such as the contributions of both spouses to the acquisition and upkeep of property, the duration of the marriage, and any special needs or circumstances. In some cases, the court may order an unequal distribution if one spouse has contributed significantly more to the marriage or if there are children to consider."
Can a child choose which parent to live with after a divorce in Sri Lanka?,"In Sri Lanka, a child cannot unilaterally choose which parent to live with until they reach the age of 14. Under the Guardianship of Infants Ordinance (No. 17 of 1898), the Family Court will make a custody decision based on the child’s best interests. The child’s preferences may be considered, especially as they grow older, but the final decision is made by the court after evaluating various factors, such as the child’s welfare, emotional ties, and the parents’ ability to care for the child."
What is the legal process for adoption in Sri Lanka?,"Adoption in Sri Lanka is governed by the Adoption Act (No. 7 of 2017). To legally adopt a child, the prospective parents must apply to the Family Court. The court assesses the suitability of the adopting parents, including their financial stability and ability to care for the child. The child being adopted must generally be under 16 years old. The court also considers the child’s wishes if they are old enough to express a preference. Once the court is satisfied, it will issue an adoption order, making the child a legal member of the family."
What rights does a stepparent have in the event of a divorce or separation?,"In Sri Lanka, a stepparent does not automatically have legal rights over stepchildren in the event of divorce or separation, unless they have legally adopted the child under the Adoption Act (No. 7 of 2017). In cases where the stepparent has not adopted the child, the biological parent will retain custody and decision-making rights. However, the stepparent may still have a role in the child's life if agreed upon by both parents or if the child’s welfare is at risk."
How does the law handle domestic violence when the abuser is a spouse?,"Domestic violence involving a spouse is addressed under the Domestic Violence Act (No. 34 of 2005). The victim can seek protection by filing a complaint with the police or directly with the Family Court. The court can issue a protection order, which may include a restraining order, barring the abusive spouse from coming near the victim. The court may also order the abuser to pay compensation and take steps to ensure the safety of the victim and any children involved."
What happens if a spouse has committed adultery in Sri Lanka?,"Adultery is a valid ground for divorce under the Divorce Act (No. 2 of 1905) in Sri Lanka. A spouse who has committed adultery can be petitioned for divorce by the other spouse. The petitioner must prove the adultery, and the court may also consider any other factors such as the impact on children or the financial implications. Adultery may affect the division of assets and custody decisions, though it does not automatically result in an unfair distribution."
Can a spouse claim maintenance during separation in Sri Lanka?,"Yes, a spouse can claim maintenance during separation under the Divorce Act (No. 2 of 1905). If a married couple is separated, either spouse can apply to the Family Court for maintenance. The court will consider the financial needs of the spouse seeking maintenance and the ability of the other spouse to provide support. Maintenance can cover basic living expenses, medical costs, and any other necessary expenditures until the divorce is finalized."
What is the role of the Family Court in marriage disputes?,"The Family Court in Sri Lanka plays a central role in resolving marriage disputes. It has the authority to hear cases related to divorce, child custody, maintenance, and domestic violence. Under the Divorce Act (No. 2 of 1905) and the Domestic Violence Act (No. 34 of 2005), the court can issue orders for protection, financial support, and division of assets. The court is focused on ensuring the welfare of any children involved and promoting fair outcomes for both parties."
"What is the Maintenance Ordinance (No. 23 of 1911) in Sri Lanka, and how does it affect me?","The Maintenance Ordinance (No. 23 of 1911) in Sri Lanka allows individuals, such as spouses or children, who are unable to support themselves, to claim maintenance from the person responsible for their support. This includes cases where a spouse is financially dependent on the other, or if a child’s parent is unable or unwilling to support them. The Family Court can determine the amount of maintenance and issue an order to ensure that the financial needs of the claimant are met, ensuring basic living expenses such as food, shelter, and healthcare."
How do I go about obtaining custody of my child after divorce in Sri Lanka?,"Custody of a child after divorce is determined by the Guardianship of Infants Ordinance (No. 17 of 1898). The Family Court will consider various factors, including the child’s welfare, the capability of each parent to care for the child, and the child’s wishes if they are old enough to express a preference. Custody can be awarded to one parent, or in some cases, joint custody can be granted. The court will ensure that the child is placed in an environment that promotes their best interests, with a focus on maintaining a stable and safe home life."
What can I do if my spouse refuses to provide maintenance?,"If your spouse refuses to provide maintenance, you can file a complaint with the Family Court under the Maintenance Ordinance (No. 23 of 1911). The court can issue an order directing the spouse to provide the agreed-upon maintenance. If the order is violated, the court may take further legal action, including fines or imprisonment. It is important to keep all evidence of the maintenance claim, such as proof of financial need or the spouse’s income, to support your case."
What is the role of the Family Court in resolving disputes over marital property?,"The Family Court in Sri Lanka, under the Matrimonial Property Act (No. 34 of 2005), has the authority to resolve disputes over marital property during divorce proceedings. The court will examine the contributions of both spouses to the property, whether financial or non-financial, and determine a fair division. If there are children, the court may also consider their welfare when making decisions regarding the property division. The court strives to ensure an equitable distribution of assets, especially in cases where one spouse has a greater financial need."
How does the Children and Young Persons Ordinance (No. 48 of 1939) apply to child custody and welfare?,"The Children and Young Persons Ordinance (No. 48 of 1939) is designed to ensure the welfare of children in Sri Lanka, particularly in situations of child custody disputes. The Family Court can refer to this Ordinance when deciding on the best interests of the child, ensuring that children’s needs for education, healthcare, and general well-being are prioritized. It provides guidelines for the treatment of children in legal matters, and if a child is found to be in need of protection or care, the court can intervene to provide for the child's safety and future."
Can a child’s education and healthcare decisions be made by one parent after divorce in Sri Lanka?,"Yes, in Sri Lanka, the Family Court may grant one parent the right to make decisions regarding a child’s education and healthcare, especially in cases of divorce. Under the Guardianship of Infants Ordinance (No. 17 of 1898), both parents are usually expected to share decision-making responsibilities. However, in certain cases, the court may grant one parent exclusive decision-making authority, particularly if it is in the child’s best interest. The court may take into account factors such as the parents’ relationship, the child’s needs, and the living conditions."
What is the significance of a Deed of Separation in Sri Lanka?,"A Deed of Separation in Sri Lanka is a legal agreement between married spouses who wish to live apart but do not want to divorce. It can address issues such as maintenance, division of property, and custody of children. The Deed of Separation is legally binding if both parties agree to the terms, and it can later be used in court as evidence in the event of a divorce or further legal action. However, it is important to note that a Deed of Separation does not automatically end the marriage, and divorce proceedings would need to be initiated separately if desired."
What is the age of marriage in Sri Lanka?,"The legal age for marriage in Sri Lanka is 18 years old for both men and women, according to the Marriage Registration Ordinance (No. 19 of 1907). Marriages involving individuals below the age of 18 are not legally recognized, and such marriages are considered null and void under the law. There are limited exceptions, such as with parental consent, but these are rare and often require special approval from the relevant authorities."
What should I do if my spouse is threatening or harassing me in Sri Lanka?,"If you are being threatened or harassed by your spouse, you can file a complaint under the Domestic Violence Act (No. 34 of 2005) in Sri Lanka. The act provides protection to individuals experiencing violence or harassment in a domestic setting. The Family Court can issue an interim protection order immediately and may also issue a long-term protection order, prohibiting the abuser from coming near you, making contact, or causing harm. It is important to seek help as soon as possible, and you can contact the police if you are in immediate danger."
How is alimony determined in Sri Lanka?,"Alimony, or maintenance, is determined by the Divorce Act (No. 2 of 1905) and the Maintenance Ordinance (No. 23 of 1911). The court considers factors such as the financial need of the spouse requesting alimony, the income of the paying spouse, the length of the marriage, and the lifestyle of both parties during the marriage. In general, alimony is meant to support the spouse who is unable to financially support themselves after the divorce and can be awarded for a fixed period or until the spouse remarries."
Can I marry someone who is already married in Sri Lanka?,"In Sri Lanka, it is illegal to marry someone who is already married under the Marriage Registration Ordinance (No. 19 of 1907). A person who is already married must first obtain a legal divorce before remarrying. Any marriage conducted with an already-married individual is considered void and may lead to legal consequences. Bigamy is an offense under Sri Lankan law, and the person marrying a married individual could face criminal charges."
"Can a marriage be annulled in Sri Lanka, and under what circumstances?","Yes, a marriage can be annulled in Sri Lanka under specific circumstances, as per the Marriage Registration Ordinance (No. 19 of 1907). Grounds for annulment include if one party was already married, if the marriage was entered into under duress, if the marriage was not consummated, or if one party was mentally incapable at the time of marriage. An annulment legally treats the marriage as though it never occurred, unlike a divorce, which ends a legal marriage but acknowledges that the marriage took place."
What is the process for getting a divorce in Sri Lanka?,"In Sri Lanka, the process of divorce is governed by the Divorce Act (No. 2 of 1905) for Christians and the Matrimonial Causes Ordinance (No. 13 of 1931) for non-Christians. The procedure typically begins by filing a petition with the Family Court, stating the grounds for divorce, such as adultery, cruelty, or desertion. The court will then consider the facts, hear both parties, and make a determination. If the divorce is granted, the court will issue a decree absolute, formally ending the marriage. It’s important to consult with a lawyer to ensure the correct procedures are followed."
Can I contest my spouse’s divorce petition in Sri Lanka?,"Yes, you can contest your spouse's divorce petition in Sri Lanka. Under the Divorce Act (No. 2 of 1905) and the Matrimonial Causes Ordinance (No. 13 of 1931), if you do not agree with the grounds for divorce or if you believe that the divorce petition is unfair, you can file a defense with the Family Court. The court will then review both parties' arguments before making a decision. It's important to provide any evidence to support your position, such as proof of reconciliation or defense against the grounds stated by your spouse."
What is the significance of the Matrimonial Causes Ordinance in family law?,"The Matrimonial Causes Ordinance (No. 13 of 1931) is a key piece of legislation governing divorce and matrimonial disputes in Sri Lanka, primarily for non-Christian communities. It outlines the grounds for divorce, including adultery, cruelty, and desertion, and provides a legal framework for the division of property and maintenance. It also deals with issues like child custody and visitation rights. The ordinance ensures that divorce proceedings are fair and just, protecting the rights of both parties involved."
Can I get a divorce if my spouse has been absent for a long time?,"Yes, you can file for a divorce under the Matrimonial Causes Ordinance (No. 13 of 1931) if your spouse has been absent for an extended period without any communication or support. This is considered desertion, one of the grounds for divorce. The court may grant a divorce if it is proven that your spouse has been absent without reasonable explanation, and you have made efforts to locate them. The period of absence required to file for divorce can vary, but it generally involves a prolonged absence."
What is reconciliation in divorce proceedings in Sri Lanka?,"Reconciliation is an attempt to resolve a marriage dispute before a final divorce is granted. Under Sri Lankan law, particularly the Divorce Act (No. 2 of 1905) and the Matrimonial Causes Ordinance (No. 13 of 1931), the Family Court encourages reconciliation between spouses. The court may refer the parties to a reconciliation board or mediator, where they can attempt to settle their differences and restore their marriage. If reconciliation fails, the divorce proceedings can continue. It is a mandatory step before a divorce can be finalized in some cases."
What are the grounds for divorce in Sri Lanka under the Divorce Act?,"The Divorce Act (No. 2 of 1905) provides several grounds for divorce, including: Adultery: If a spouse has committed adultery. Cruelty: If a spouse has treated the other spouse with cruelty, whether physical or mental. Desertion: If a spouse has abandoned the other without reasonable cause for a continuous period of two years or more. Failure to provide maintenance: If a spouse fails to provide maintenance, resulting in the other spouse's inability to sustain themselves. The Family Court will assess the evidence presented to determine if any of these grounds justify the dissolution of the marriage."
Can a divorce affect my property and asset division in Sri Lanka?,"Yes, a divorce can affect the division of property and assets in Sri Lanka. Under the Matrimonial Causes Ordinance (No. 13 of 1931) and the Divorce Act (No. 2 of 1905), the Family Court will consider the contributions of both parties to the acquisition of assets during the marriage. This includes financial contributions and non-financial contributions, such as homemaking and child-rearing. The court aims to divide the marital property equitably, ensuring that both parties have fair access to the assets accumulated during the marriage."
What is the process to obtain a Protection Order for domestic abuse in Sri Lanka?,"In Sri Lanka, a Protection Order can be obtained under the Domestic Violence Act (No. 34 of 2005) to protect individuals from domestic abuse. The process involves filing a complaint with the police or Family Court, detailing the abuse. If the court believes that you are in immediate danger, it can issue an interim protection order, followed by a full order if necessary. The protection order can prohibit the abuser from contacting you, coming near your home, or engaging in any form of harassment. The police are responsible for enforcing these orders."
What should I do if I feel that my child is in danger at home?,"If you believe your child is in danger at home, you should immediately contact the police and the Family Court. Under the Children and Young Persons Ordinance (No. 48 of 1939), the court can take immediate action to protect the child, such as issuing an order for the child’s removal from a dangerous environment or assigning guardianship to a safer relative. The court may also investigate the situation and make long-term arrangements for the child’s safety and well-being. It’s important to act quickly and ensure that the child is removed from harm."
How is child maintenance calculated in Sri Lanka?,"Child maintenance is determined based on the needs of the child and the financial capability of the parent who is responsible for paying. The Maintenance Ordinance (No. 23 of 1911) allows the Family Court to assess the financial requirements of the child, including costs for education, healthcare, and general living expenses. The court will also consider the income and financial stability of the paying parent. Maintenance is typically awarded to the parent with primary custody of the child, but both parents may be required to contribute to the child’s support."
What is the procedure to change child custody arrangements in Sri Lanka?,"If you wish to change the custody arrangements of your child, you must file an application with the Family Court under the Guardianship of Infants Ordinance (No. 17 of 1898). The court will review the circumstances surrounding the original custody decision and the current situation. The court will consider factors such as the child’s welfare, the ability of each parent to provide for the child’s needs, and the child’s own wishes if they are old enough. The court may modify the custody arrangements if it deems it to be in the best interest of the child."
What is the Children and Young Persons Ordinance and how does it protect children in Sri Lanka?,"The Children and Young Persons Ordinance (No. 48 of 1939) is a key piece of legislation in Sri Lanka that seeks to protect children from abuse, neglect, and exploitation. It provides guidelines for the protection of children under the age of 18, ensuring their welfare and safeguarding them from any form of harm. Under this Ordinance, the Family Court has the authority to intervene in situations where children are at risk, including removing them from dangerous homes, assigning guardianship, and making decisions about child custody and welfare. The Ordinance ensures that children’s best interests are prioritized in legal matters."
Can I seek legal action if my child is being abused by a relative in Sri Lanka?,"Yes, you can seek legal action if your child is being abused by a relative. The Children and Young Persons Ordinance (No. 48 of 1939) allows parents or guardians to take action if their child is being mistreated, including reporting the abuse to the police or Family Court. The court can issue orders for the child's protection, such as removing them from the abusive relative’s care and appointing a safer guardian. In extreme cases, criminal charges can be brought against the abuser under the Penal Code (No. 2 of 1883) for offenses such as child abuse or neglect."
How does the Maintenance Ordinance apply to divorced parents?,"The Maintenance Ordinance (No. 23 of 1911) ensures that both parents are responsible for providing financial support for their children after a divorce. The Family Court can order one or both parents to contribute to the child's maintenance, including education, healthcare, and general living expenses. The amount of maintenance depends on the needs of the child and the financial capacity of the parents. In the case of a divorce, the court will assess the custodial arrangements and determine which parent will provide the primary support, though both may still be required to contribute."
Can a parent refuse visitation rights to the other parent in Sri Lanka?,"No, a parent cannot refuse visitation rights without valid reasons. Under the Guardianship of Infants Ordinance (No. 17 of 1898), the Family Court generally ensures that both parents maintain a relationship with their children unless it is shown to be harmful to the child. If visitation rights are being denied, the non-custodial parent can file a motion in Family Court to enforce these rights. The court will assess the situation and ensure that the visitation arrangement is in the best interests of the child, which may include determining a suitable schedule or supervision if necessary."
What are the legal rights of children under Sri Lankan family law?,"Children in Sri Lanka have various legal rights under the Children and Young Persons Ordinance (No. 48 of 1939) and the Guardianship of Infants Ordinance (No. 17 of 1898). These rights include protection from abuse and neglect, the right to receive adequate maintenance, the right to education, and the right to have a voice in matters concerning their welfare when they are old enough to express a preference. The primary focus of Sri Lankan family law is to ensure that children's best interests are always prioritized in decisions regarding custody, maintenance, and protection."
How does the Family Court handle cases of child custody and access in Sri Lanka?,"In Sri Lanka, the Family Court handles child custody and access cases under the Guardianship of Infants Ordinance (No. 17 of 1898). When deciding on custody, the court considers the child's best interests, including factors such as the child's age, health, and emotional attachment to each parent. The court can grant sole or joint custody to the parents or assign custody to one parent while giving the other parent visitation rights. The court may also order supervised visitation if there are concerns about the child's safety. The court aims to create a stable environment for the child while ensuring both parents have an opportunity to be involved in their upbringing."
Can a child decide which parent they want to live with in Sri Lanka?,"In Sri Lanka, a child’s opinion may be considered in custody decisions, particularly if they are older and capable of forming a reasonable preference. Under the Guardianship of Infants Ordinance (No. 17 of 1898), the Family Court may take the child’s wishes into account, especially if the child is 12 years of age or older. However, the final decision is made by the court based on what is in the child’s best interests, considering factors such as the child's emotional and physical needs, their relationship with each parent, and any history of abuse or neglect."
What is the role of a Mediation Board in family disputes in Sri Lanka?,"In Sri Lanka, a Mediation Board plays a significant role in resolving family disputes without resorting to formal court procedures. Mediation is encouraged by the Family Mediation Act (No. 10 of 1998), which provides a process for resolving disputes related to divorce, maintenance, child custody, and property settlements. A trained mediator assists the parties in negotiating an agreement that is acceptable to both sides. Mediation aims to reduce the emotional and financial cost of litigation and encourages amicable resolutions, with the ultimate goal of serving the best interests of children and families involved."
How does the Domestic Violence Act (No. 34 of 2005) protect victims of abuse in Sri Lanka?,"The Domestic Violence Act (No. 34 of 2005) is designed to provide protection to individuals, especially women and children, who are victims of domestic violence. Under this Act, victims can apply for a Protection Order through the Family Court, which can order the abuser to cease violent behavior, stay away from the victim, and refrain from contacting the victim. The Act also provides for the possibility of temporary shelter, legal assistance, and compensation for the victim. The police are obligated to assist in enforcing protection orders, ensuring that victims receive the legal protection they need."
Can I file for maintenance if my spouse is not providing financial support?,"Yes, you can file for maintenance under the Maintenance Ordinance (No. 23 of 1911) if your spouse is not providing financial support. Maintenance is granted by the Family Court to ensure that a spouse and any children are supported after separation or divorce. If the court finds that the spouse has the means to pay but is failing to do so, it can issue a maintenance order requiring them to provide financial support. The amount of maintenance is determined based on the needs of the spouse and children, as well as the financial capacity of the spouse responsible for the support."
What is the Marriage Registration Ordinance in Sri Lanka?,"The Marriage Registration Ordinance (No. 19 of 1907) in Sri Lanka requires the registration of all marriages that take place within the country. This ordinance ensures that marriages are legally recognized and documented, which can be important for matters such as inheritance, property ownership, and legal rights in case of separation or divorce. Under this ordinance, marriages can be registered with the Registrar General or through the religious institutions, depending on the parties’ preferences. Registering a marriage provides legal protection and recognition of marital rights."
Can a marriage be annulled in Sri Lanka?,"Yes, a marriage can be annulled in Sri Lanka under specific circumstances. Annulment is different from divorce, as it declares the marriage void from the start. Grounds for annulment under Sri Lankan law include fraud, coercion, one party being underage, or a lack of consent. A marriage can also be annulled if one party is already married or if the marriage is not legally valid due to certain formalities not being met. The annulment process involves applying to the Family Court, which will determine whether the marriage can be declared void."
What is the process for a divorce in Sri Lanka?,"The process for divorce in Sri Lanka is governed by the Married Women's Maintenance Ordinance (No. 24 of 1939) and the Divorce and Matrimonial Causes Ordinance (No. 1 of 1923). A divorce petition can be filed by either spouse on grounds such as adultery, cruelty, or desertion. The Family Court will review the case, and if the grounds for divorce are proven, the court will grant a decree of divorce. Before the divorce is finalized, the court will also address issues such as property division, child custody, and maintenance. Mediation is often encouraged to help the parties come to an agreement."
What is the difference between a legal separation and a divorce in Sri Lanka?,"In Sri Lanka, a legal separation is a court order that allows married couples to live apart but does not dissolve the marriage. It is often used when one spouse seeks to live separately for reasons such as marital problems, but does not want to proceed with a divorce. The Divorce and Matrimonial Causes Ordinance (No. 1 of 1923) outlines the legal grounds for a divorce, which ends the marriage. Legal separation may address issues like child custody, maintenance, and property division but does not officially dissolve the marriage. After a legal separation, either spouse may later file for divorce."
How can I change my child’s surname after divorce in Sri Lanka?,"In Sri Lanka, changing a child's surname after a divorce requires a formal application to the Family Court. The court will consider the reasons for the name change and ensure it is in the best interests of the child. Generally, if the child’s surname is to be changed from the father’s surname to the mother’s, or vice versa, both parents' consent may be required. If one parent disagrees, the court will make a decision based on the child’s welfare and the circumstances of the case. The change must be registered with the relevant authorities once approved."
What is the Family Code and how does it impact family matters in Sri Lanka?,"The Family Code in Sri Lanka is a proposed legal framework that is designed to address all aspects of family law, including marriage, divorce, child custody, and inheritance. While a unified Family Code has not yet been fully implemented, the government has been working on reforming family law to provide greater clarity and fairness in dealing with family-related legal matters. If enacted, the Family Code would simplify the legal processes involved in family disputes and ensure that family law is more accessible and equitable for all citizens."
Can a person contest a will in Sri Lanka if they believe they are entitled to more inheritance?,"Yes, a person can contest a will in Sri Lanka if they believe that they are entitled to more inheritance or if they think the will is invalid. Under the Wills Ordinance (No. 7 of 1902), individuals who have a legal interest in the estate (such as children or spouses) can challenge the validity of a will on grounds like undue influence, lack of mental capacity of the deceased, or failure to follow legal formalities. The person contesting the will must file a petition in the District Court to determine whether the will is legally valid and whether the inheritance should be adjusted."
Can a non-citizen marry in Sri Lanka and what is the process?,"Yes, a non-citizen can marry in Sri Lanka, but they must follow certain procedures under the Marriage Registration Ordinance (No. 19 of 1907). The foreign national must provide proof of their nationality, marital status, and age. The marriage registration must take place at the Registrar General’s office or through a recognized religious ceremony. If one party is a foreigner, the other party must be a Sri Lankan citizen. In some cases, foreigners may need to provide a certificate of no impediment from their home country, confirming that they are not already married."
What happens if one spouse refuses to comply with a divorce order in Sri Lanka?,"If one spouse refuses to comply with a divorce order in Sri Lanka, the other spouse can take the matter to the Family Court for enforcement. The Family Court can issue enforcement orders, such as directing the spouse to comply with maintenance, child custody, or property division orders. If the non-complying spouse continues to refuse, the court can impose penalties, such as fines or imprisonment, to ensure compliance. The court’s primary focus will always be on ensuring that the orders made in the best interests of the children and the parties involved are followed."
Can I file for a divorce on the grounds of domestic violence in Sri Lanka?,"Yes, you can file for a divorce on the grounds of domestic violence in Sri Lanka under the Domestic Violence Act (No. 34 of 2005). If one spouse is subjected to physical, emotional, or psychological abuse, they have the right to seek a divorce through the Family Court. The court may also issue a protection order, restraining the abusive spouse from further violence and providing immediate relief for the victim. Domestic violence is considered a serious matter, and Sri Lankan law provides protection for victims who seek divorce on these grounds."
What are the rights of children in a divorce under Sri Lankan law?,"In Sri Lanka, under the Children’s Charter (No. 50 of 1992), children have specific rights in the event of a divorce. These include the right to a relationship with both parents, the right to be cared for, and the right to financial support. The Family Court will always prioritize the best interests of the child when making decisions regarding child custody and visitation. Generally, both parents have a duty to support their children financially, even after divorce. The court will assess the child’s age, preferences (if old enough), and welfare before making decisions on custody."
Can a child decide which parent to live with after a divorce in Sri Lanka?,"In Sri Lanka, a child who is 14 years or older can express a preference about which parent they wish to live with after a divorce. However, the Family Court will consider the child’s wishes in the context of their welfare, which includes their emotional and psychological well-being. Younger children may not have the legal capacity to decide, and the court will make the decision based on what is best for the child. Factors such as the parents' ability to provide care, the child’s current living situation, and the stability of the home will be taken into account."
Can a parent deny the other parent access to their child after a divorce in Sri Lanka?,"No, a parent cannot deny the other parent access to their child after a divorce unless there are specific circumstances, such as concerns over the child’s safety or well-being. Under Sri Lankan law, both parents have the right to maintain a relationship with their children unless there are compelling reasons to restrict that access, such as domestic violence or abuse. If one parent is refusing access, the other parent can seek a court order through the Family Court to establish visitation rights or joint custody. The court will make decisions in the best interest of the child."
What is the Matrimonial Causes Ordinance (No. 1 of 1923)?,"The Matrimonial Causes Ordinance (No. 1 of 1923) is a Sri Lankan law that governs divorce and related matters. It provides the legal framework for divorce petitions, including the grounds for divorce such as adultery, cruelty, desertion, and incapacity to fulfill marital duties. The ordinance also addresses issues such as property division, spousal maintenance, and child custody. Under this ordinance, either spouse can file for divorce, and the Family Court will determine the outcome based on the circumstances of the case."
How does Sri Lankan law deal with child maintenance after a divorce?,"Under Sri Lankan law, both parents are obligated to maintain their children, regardless of whether they are married or divorced. The Maintenance Ordinance (No. 24 of 1939) establishes that a parent may seek maintenance payments for the child after a divorce. The Family Court will consider the financial situation of both parents and the needs of the child when determining the amount of maintenance. This includes the child’s education, healthcare, and general living expenses. Non-payment of maintenance can result in legal actions such as wage garnishment or imprisonment."
What is the role of mediation in family law matters in Sri Lanka?,"Mediation plays a significant role in resolving family disputes in Sri Lanka, especially in divorce and child custody matters. The Family Mediation system in Sri Lanka encourages couples to attempt reconciliation or reach an agreement on contested issues before the case goes to court. The Family Court may recommend mediation to help parents resolve matters related to child custody, property division, and maintenance. Mediation allows both parties to express their concerns and negotiate solutions with the assistance of a trained mediator. If successful, mediation can save time and reduce the emotional strain on the family."
